image_filename,num_trees,tree_points,path_points
image_1746551059_931153577.jpg,3,"[(600, 343), (724, 333), (965, 329)]",NO PATH
image_1746551061_931181870.jpg,4,"[(593, 337), (654, 338), (724, 324), (974, 324)]",NO PATH
image_1746551062_951177005.jpg,5,"[(595, 337), (626, 337), (658, 338), (729, 336), (998, 329)]",NO PATH
image_1746551064_951685209.jpg,5,"[(599, 331), (631, 334), (666, 332), (746, 327), (1041, 321)]",NO PATH
image_1746551066_991184150.jpg,3,"[(650, 333), (823, 309), (1189, 290)]",NO PATH
image_1746551069_11605720.jpg,5,"[(616, 350), (651, 343), (691, 344), (732, 340), (853, 332)]",NO PATH
image_1746551071_51174450.jpg,5,"[(652, 335), (693, 334), (741, 336), (811, 324), (902, 322)]",NO PATH
image_1746551072_71187890.jpg,5,"[(645, 337), (689, 333), (742, 336), (810, 335), (924, 331)]",NO PATH
image_1746551074_91308432.jpg,5,"[(341, 329), (638, 346), (686, 342), (747, 340), (1017, 328)]",NO PATH
image_1746551076_111211692.jpg,5,"[(188, 334), (285, 342), (619, 339), (744, 339), (927, 332)]",NO PATH
image_1746551077_111296905.jpg,5,"[(183, 321), (284, 318), (634, 337), (683, 337), (968, 307)]",NO PATH
image_1746551078_113336227.jpg,5,"[(154, 307), (287, 320), (648, 327), (798, 324), (1004, 310)]",NO PATH
image_1746551079_131147043.jpg,6,"[(188, 319), (314, 324), (692, 331), (755, 323), (864, 316), (1085, 303)]",NO PATH
image_1746551080_131181632.jpg,6,"[(129, 307), (286, 323), (690, 318), (759, 324), (887, 318), (1105, 308)]",NO PATH
image_1746551081_131199421.jpg,6,"[(75, 323), (256, 324), (687, 324), (761, 328), (911, 320), (1129, 311)]",NO PATH
image_1746551082_151152572.jpg,5,"[(268, 324), (715, 319), (800, 320), (997, 315), (1221, 290)]",NO PATH
image_1746551084_151283639.jpg,5,"[(235, 307), (740, 314), (848, 317), (1026, 310), (1187, 310)]",NO PATH
image_1746551085_172496425.jpg,4,"[(194, 317), (752, 319), (882, 320), (1054, 306)]",NO PATH
image_1746551086_191159253.jpg,4,"[(126, 320), (743, 321), (896, 319), (1066, 305)]",NO PATH
image_1746551087_211148853.jpg,6,"[(51, 295), (688, 335), (754, 321), (848, 318), (926, 311), (1087, 310)]",NO PATH
image_1746551088_231169334.jpg,5,"[(658, 330), (735, 321), (834, 315), (944, 315), (1082, 303)]",NO PATH
image_1746551089_231184498.jpg,4,"[(738, 323), (834, 315), (996, 310), (1106, 310)]",NO PATH
image_1746551090_231199631.jpg,5,"[(741, 322), (840, 322), (968, 314), (1063, 310), (1135, 312)]",NO PATH
image_1746551093_271147818.jpg,5,"[(663, 326), (762, 315), (856, 305), (1008, 304), (1253, 293)]",NO PATH
image_1746551094_271177959.jpg,4,"[(649, 328), (760, 304), (848, 318), (1013, 309)]",NO PATH
image_1746551095_271180708.jpg,4,"[(653, 330), (770, 322), (861, 312), (1036, 307)]",NO PATH
image_1746551096_271738696.jpg,4,"[(641, 322), (767, 314), (855, 310), (1044, 300)]",NO PATH
image_1746551097_291267201.jpg,4,"[(664, 328), (801, 313), (892, 308), (1101, 298)]",NO PATH
image_1746551098_291892007.jpg,4,"[(696, 326), (823, 313), (902, 308), (1138, 288)]",NO PATH
image_1746551100_331217597.jpg,6,"[(684, 329), (699, 334), (719, 334), (887, 316), (941, 316), (1255, 296)]",NO PATH
image_1746551101_351314175.jpg,6,"[(960, 309), (920, 313), (665, 335), (677, 339), (690, 336), (710, 333)]",NO PATH
image_1746551104_391162073.jpg,6,"[(690, 336), (703, 340), (723, 339), (750, 340), (954, 321), (1024, 316)]",NO PATH
image_1746551105_391259447.jpg,6,"[(681, 330), (695, 333), (714, 333), (745, 332), (949, 314), (1033, 314)]",NO PATH
image_1746551106_411363896.jpg,6,"[(681, 339), (696, 336), (720, 334), (752, 333), (956, 323), (1066, 312)]",NO PATH
image_1746551109_471154710.jpg,7,"[(377, 319), (684, 328), (700, 330), (730, 333), (774, 328), (986, 311), (1149, 307)]",NO PATH
image_1746551110_471203699.jpg,7,"[(340, 339), (670, 334), (690, 336), (717, 332), (769, 327), (974, 304), (1154, 290)]",NO PATH
image_1746551112_471246444.jpg,7,"[(309, 335), (680, 331), (698, 330), (736, 330), (801, 329), (1009, 303), (1251, 291)]",NO PATH
image_1746551114_471693835.jpg,6,"[(244, 329), (670, 331), (693, 329), (735, 329), (819, 324), (1016, 300)]",NO PATH
image_1746551115_491163843.jpg,6,"[(192, 331), (662, 326), (687, 327), (732, 324), (830, 321), (1019, 304)]",NO PATH
image_1746551117_491208061.jpg,6,"[(107, 344), (668, 335), (694, 334), (751, 330), (889, 320), (1048, 308)]",NO PATH
image_1746551118_511214205.jpg,6,"[(102, 346), (689, 344), (718, 342), (780, 340), (956, 320), (1093, 306)]",NO PATH
image_1746551122_552029794.jpg,4,"[(717, 322), (756, 323), (875, 312), (1230, 286)]",NO PATH
image_1746551123_571196662.jpg,4,"[(711, 324), (755, 326), (897, 315), (1236, 291)]",NO PATH
image_1746551124_591517786.jpg,4,"[(712, 327), (764, 327), (869, 327), (935, 324)]",NO PATH
image_1746551125_611255735.jpg,4,"[(566, 324), (703, 326), (755, 323), (967, 302)]",NO PATH
image_1746551126_631174678.jpg,5,"[(561, 320), (704, 326), (766, 327), (865, 326), (1036, 299)]",NO PATH
image_1746551130_671242735.jpg,4,"[(583, 330), (698, 334), (740, 332), (841, 325)]",NO PATH
image_1746551131_691150190.jpg,5,"[(576, 339), (698, 339), (743, 337), (811, 331), (859, 331)]",NO PATH
image_1746551133_693446664.jpg,5,"[(580, 313), (705, 318), (760, 317), (824, 314), (919, 303)]",NO PATH
image_1746551134_711231272.jpg,5,"[(560, 316), (699, 324), (756, 322), (818, 314), (946, 314)]",NO PATH
image_1746551142_771301847.jpg,4,"[(531, 334), (697, 337), (839, 320), (1034, 320)]",NO PATH
image_1746551144_791225907.jpg,5,"[(513, 313), (693, 323), (839, 318), (872, 312), (1056, 308)]",NO PATH
image_1746551145_811146929.jpg,5,"[(501, 320), (689, 322), (848, 317), (892, 314), (1062, 317)]",NO PATH
image_1746551146_811212111.jpg,5,"[(500, 326), (693, 322), (851, 310), (943, 310), (1083, 297)]",NO PATH
image_1746551148_851821560.jpg,4,"[(470, 314), (685, 332), (858, 326), (1067, 290)]",NO PATH
image_1746551150_891147950.jpg,5,"[(487, 311), (682, 326), (719, 322), (903, 320), (1231, 307)]",NO PATH
image_1746551155_911193184.jpg,4,"[(443, 302), (682, 317), (737, 318), (959, 304)]",NO PATH
image_1746551156_911199165.jpg,5,"[(457, 327), (704, 346), (763, 345), (820, 347), (995, 336)]",NO PATH
image_1746551157_911651200.jpg,4,"[(432, 333), (699, 349), (766, 346), (1004, 344)]",NO PATH
image_1746551158_931182425.jpg,4,"[(430, 336), (714, 347), (790, 348), (1045, 345)]",NO PATH
image_1746551160_951253366.jpg,4,"[(403, 338), (713, 362), (807, 352), (1086, 340)]",NO PATH
image_1746551161_971177909.jpg,5,"[(389, 320), (678, 349), (702, 353), (811, 350), (1092, 350)]",NO PATH
image_1746551162_991196982.jpg,4,"[(367, 333), (705, 351), (833, 351), (1120, 337)]",NO PATH
image_1746551165_11221171.jpg,4,"[(338, 306), (726, 341), (907, 341), (1229, 339)]",NO PATH
image_1746551166_11229359.jpg,4,"[(284, 308), (709, 341), (937, 350), (1231, 342)]",NO PATH
image_1746551167_11465999.jpg,6,"[(254, 279), (693, 337), (723, 337), (756, 330), (860, 333), (1014, 346)]",NO PATH
image_1746551169_51152010.jpg,5,"[(113, 299), (677, 335), (717, 334), (747, 330), (857, 323)]",NO PATH
image_1746551171_51219108.jpg,5,"[(185, 283), (494, 305), (782, 331), (836, 336), (1001, 332)]",NO PATH
image_1746551172_71218980.jpg,5,"[(108, 265), (497, 290), (792, 328), (861, 333), (1022, 321)]",NO PATH
image_1746551173_71495685.jpg,5,"[(477, 288), (791, 336), (856, 322), (875, 335), (1025, 320)]",NO PATH
image_1746551174_91141183.jpg,5,"[(451, 283), (792, 337), (854, 319), (891, 335), (1029, 316)]",NO PATH
image_1746551175_92591537.jpg,5,"[(409, 286), (771, 336), (831, 316), (885, 328), (1006, 319)]",NO PATH
image_1746551176_111392768.jpg,5,"[(401, 297), (791, 342), (847, 328), (933, 332), (1040, 324)]",NO PATH
image_1746551177_131147036.jpg,5,"[(401, 289), (803, 328), (861, 325), (976, 321), (1067, 321)]",NO PATH
image_1746551178_151152284.jpg,4,"[(401, 269), (838, 332), (888, 317), (1071, 320)]",NO PATH
image_1746551180_151355032.jpg,5,"[(389, 276), (501, 299), (900, 339), (943, 320), (1233, 322)]",NO PATH
image_1746551181_171308823.jpg,5,"[(336, 291), (468, 297), (897, 319), (927, 318), (1233, 316)]",NO PATH
image_1746551185_191622705.jpg,5,"[(203, 227), (454, 265), (897, 329), (1042, 315), (1131, 336)]",NO PATH
image_1746551186_211197579.jpg,8,"[(152, 200), (449, 240), (571, 293), (834, 329), (862, 331), (926, 332), (1069, 315), (1240, 339)]",NO PATH
image_1746551187_211450411.jpg,8,"[(409, 279), (546, 302), (605, 308), (636, 312), (818, 327), (853, 334), (923, 330), (1062, 318)]",NO PATH
image_1746551188_231600813.jpg,7,"[(385, 279), (545, 285), (598, 316), (821, 336), (859, 332), (936, 331), (1080, 325)]",NO PATH
image_1746551190_251614698.jpg,6,"[(183, 276), (423, 276), (549, 311), (785, 327), (875, 327), (997, 322)]",NO PATH
image_1746551191_272093745.jpg,6,"[(65, 265), (398, 288), (544, 308), (791, 329), (893, 331), (1015, 315)]",NO PATH
image_1746551193_291174720.jpg,4,"[(332, 265), (803, 330), (943, 327), (1050, 317)]",NO PATH
image_1746551196_311162329.jpg,5,"[(182, 249), (416, 297), (745, 327), (1044, 333), (1111, 318)]",NO PATH
image_1746551197_311259414.jpg,6,"[(410, 288), (498, 304), (721, 333), (757, 331), (834, 326), (1127, 316)]",NO PATH
image_1746551198_311348212.jpg,6,"[(364, 281), (452, 303), (707, 329), (744, 329), (826, 325), (1216, 319)]",NO PATH
image_1746551200_351988477.jpg,6,"[(232, 283), (396, 297), (661, 324), (700, 327), (811, 326), (1171, 318)]",NO PATH
image_1746551201_371189202.jpg,6,"[(185, 277), (376, 307), (663, 327), (704, 326), (821, 326), (1214, 307)]",NO PATH
